Age,Address,Marital status of household head,Household head kind of business (if business is the source of income),Educational Attainment of the household head,Household head occupation,Household head spouse is employed (y/n),Household type,Spend for Laundry Services (y/n),Pay Tuition fees in cash,"Receive cash receipts, assistance from abroad (y/n)",Household owned motorcycles (y/n),Household owned car (y/n),Spend for maid/boy services (y/n),Household Means in Cooking,Number of own APPLIANCES,Number of phones/gadgets owned,Household House Structure type,Have a sala sets (y/n),Household have toilet facility (y/n),Household have main source of water (y/n),Prediction
45,"P2 Camote,Barangay Maon",Single,Vaind Seller,Elementary Graduate,Part time Technician,Yes,Normal,Yes,"50,000 - UP",No,Yes,Yes,Yes,LPG,3,3-4,Metal Roof & Half Concrete,Yes,Yes,Yes,rich
34,"P5 Ube,Barangay Maon",Single,None,College Graduate,Barangay Councilor,No,Normal,Yes,"10,000 - 22,000",Yes,Yes,No,No,LPG,1-2,5 - up,Metal Roof & Full Concrete,Yes,Yes,Yes,poor
38,"P1 Cassava,Barangay Maon",Single,Vaind Seller,Elementary Graduate,None,No,Extended,No,"44,000 - 75,000",Yes,No,Yes,No,LPG,5,1-2,Metal Roof & Full Concrete,Yes,Yes,No,above average
55,"P3 Kammungay,Barangay Maon",Married,None,High School Graduate,Part time Technician,No,Extended,No,"10,000 and below",Yes,No,No,No,FIREWOOD,3,1-2,Nipa & Wood,Yes,Yes,Yes,very poor
55,"P3 Kammungay,Barangay Maon",Single,Drygoods Retail/ Natasha,High School Graduate,Businness Onwer,No,Normal,Yes,"50,000 - UP",Yes,No,Yes,No,LPG,5,3-4,Metal Roof & Hardiflex,Yes,Yes,Yes,rich
46,"P3 Kammungay,Barangay Maon",Married,Drygoods Retail/ Natasha,Elementary Graduate,Coordinator,No,Extended,No,"10,000 and below",No,No,Yes,No,LPG,1-2,5 - up,Metal Roof & Hardiflex,Yes,No,No,very poor
29,"P3 Kammungay,Barangay Maon",Married,Sari-sari Store/Peso Net,College Graduate,Engineer,Yes,Normal,Yes,"76,000-131,000",Yes,No,No,No,FIREWOOD,1-2,3-4,Metal Roof & Amakan,No,Yes,No,rich
53,"P5 Ube,Barangay Maon",Widower,None,High School Graduate,Sideline,No,Normal,No,"44,000 - 75,000",Yes,Yes,Yes,No,LPG,6,3-4,Metal Roof & Amakan,Yes,Yes,Yes,above average
56,"P3 Kammungay,Barangay Maon",Widower,Sari-sari Store/Peso Net,High School Graduate,Tricycle Driver,No,Normal,Yes,"44,000 - 75,000",Yes,Yes,No,No,LPG,3,5 - up,Metal Roof & Amakan,No,No,No,above average
62,"P1 Cassava,Barangay Maon",Widower,Vaind Seller,Elementary Graduate,Tricycle Driver,No,Normal,No,"10,000 - 22,000",Yes,No,No,Yes,FIREWOOD,6,1-2,Metal Roof & Half Concrete,No,No,No,poor
27,"P1 Cassava,Barangay Maon",Married,Drygoods Retail/ Natasha,High School Graduate,Coordinator,No,Extended,No,"23,000 - 43,000",No,Yes,No,Yes,FIREWOOD,5,3-4,Metal Roof & Full Concrete,No,Yes,No,average
