Age,Address,Marital status of household head,Household head kind of business (if business is the source of income),Educational Attainment of the household head,Household head occupation,Household head spouse is employed (y/n),Household type,Spend for Laundry Services (y/n),Pay Tuition fees in cash,"Receive cash receipts, assistance from abroad (y/n)",Household owned motorcycles (y/n),Household owned car (y/n),Spend for maid/boy services (y/n),Household Means in Cooking,Number of own APPLIANCES,Number of phones/gadgets owned,Household House Structure type,Have a sala sets (y/n),Household have toilet facility (y/n),Household have main source of water (y/n),Prediction
24,"P3 Kammungay,Barangay Maon",Single,Vaind Seller,Elementary Graduate,Tatoo Artist,Yes,Extended,Yes,"50,000 - UP",No,No,Yes,No,FIREWOOD,1-2,5 - up,Metal Roof & Half Concrete,No,No,Yes,Yes
58,"P3 Kammungay,Barangay Maon",Married,Sari-sari Store/Peso Net,Elementary Graduate,Senior Citizen,Yes,Extended,Yes,"10,000 - 22,000",Yes,Yes,Yes,Yes,LPG,5,1-2,Metal Roof & Hardiflex,Yes,No,Yes,No
47,"P1 Cassava,Barangay Maon",Married,Drygoods Retail/ Natasha,College Graduate,None,Yes,Normal,No,"10,000 - 22,000",Yes,Yes,No,No,FIREWOOD,1-2,5 - up,Nipa & Wood,Yes,No,No,No
30,"P5 Ube,Barangay Maon",Married,Drygoods Retail/ Natasha,High School Graduate,Engineer,Yes,Extended,No,"20,000-25,000",Yes,No,No,No,LPG,3,5 - up,Metal Roof & Amakan,Yes,No,Yes,Yes
24,"P2 Camote,Barangay Maon",Single,Drygoods Retail/ Natasha,College Graduate,Coordinator,No,Extended,No,"10,000 - 22,000",No,No,Yes,No,FIREWOOD,6,1-2,Metal Roof & Amakan,Yes,Yes,No,No
54,"P3 Kammungay,Barangay Maon",Married,Vaind Seller,High School Graduate,Tatoo Artist,Yes,Normal,No,"26,000 - 30,000",No,No,Yes,No,FIREWOOD,3,1-2,Metal Roof & Amakan,No,No,No,No
44,"P1 Cassava,Barangay Maon",Widower,Vaind Seller,College Graduate,None,Yes,Extended,Yes,"20,000-25,000",No,No,No,Yes,FIREWOOD,1-2,3-4,Metal Roof & Half Concrete,No,Yes,Yes,Yes
62,"P1 Cassava,Barangay Maon",Single,Sari-sari Store/Peso Net,Elementary Graduate,Company Driver,No,Normal,Yes,"10,000 - 22,000",Yes,Yes,Yes,Yes,LPG,3,5 - up,Metal Roof & Hardiflex,No,No,No,Yes
55,"P1 Cassava,Barangay Maon",Single,None,High School Graduate,Glass Installer,No,Normal,No,"10,000 - 22,000",Yes,Yes,Yes,Yes,LPG,5,3-4,Nipa & Wood,No,No,No,Yes
50,"P1 Cassava,Barangay Maon",Married,Sari-sari Store/Peso Net,High School Graduate,Tatoo Artist,No,Normal,No,"26,000 - 30,000",No,No,No,No,LPG,6,3-4,Nipa & Wood,No,No,Yes,No
31,"P3 Kammungay,Barangay Maon",Single,Sari-sari Store/Peso Net,High School Graduate,Orgon Worker,No,Normal,No,"20,000-25,000",Yes,Yes,No,No,FIREWOOD,5,1-2,Nipa & Wood,No,Yes,Yes,No
36,"P1 Cassava,Barangay Maon",Married,None,College Graduate,Glass Installer,No,Extended,Yes,"10,000 - 22,000",No,Yes,Yes,No,FIREWOOD,5,5 - up,Metal Roof & Full Concrete,No,No,No,Yes
23,"P1 Cassava,Barangay Maon",Widower,Vaind Seller,High School Graduate,Orgon Worker,No,Extended,No,"10,000 - 22,000",No,Yes,Yes,Yes,LPG,6,3-4,Nipa & Wood,Yes,No,Yes,Yes
64,"P2 Camote,Barangay Maon",Single,Vaind Seller,College Graduate,Sideline,Yes,Normal,No,"20,000-25,000",Yes,No,Yes,No,LPG,3,3-4,Metal Roof & Half Concrete,Yes,Yes,No,No
36,"P5 Ube,Barangay Maon",Married,Sari-sari Store/Peso Net,College Graduate,None,Yes,Extended,Yes,"50,000 - UP",Yes,Yes,Yes,No,LPG,6,1-2,Metal Roof & Half Concrete,No,Yes,No,Yes
26,"P3 Kammungay,Barangay Maon",Married,Drygoods Retail/ Natasha,Elementary Graduate,Engineer,No,Extended,Yes,"10,000 - 22,000",No,Yes,Yes,Yes,FIREWOOD,5,3-4,Nipa & Wood,No,No,No,Yes
65,"P3 Kammungay,Barangay Maon",Married,Sari-sari Store/Peso Net,High School Graduate,Engineer,Yes,Extended,Yes,"50,000 - UP",No,Yes,No,No,FIREWOOD,5,3-4,Metal Roof & Amakan,No,No,No,No
28,"P1 Cassava,Barangay Maon",Married,Vaind Seller,College Graduate,Company Driver,No,Extended,Yes,"10,000 - 22,000",Yes,No,No,Yes,FIREWOOD,5,3-4,Metal Roof & Hardiflex,Yes,No,Yes,Yes
47,"P1 Cassava,Barangay Maon",Married,Sari-sari Store/Peso Net,High School Graduate,Glass Installer,No,Normal,Yes,"26,000 - 30,000",Yes,No,No,No,LPG,6,1-2,Metal Roof & Full Concrete,Yes,Yes,Yes,Yes
29,"P3 Kammungay,Barangay Maon",Widower,Vaind Seller,High School Graduate,None,Yes,Extended,No,"26,000 - 30,000",No,Yes,Yes,No,LPG,3,5 - up,Metal Roof & Amakan,Yes,Yes,No,No
